TTT (K)	𝝆𝑳	𝝆𝑽	𝑷	∆𝑯𝑽	ρL+/-	ρV+/-	P+/-	Hvap+/-
430.00	0.533700	0.022360	0.662000	23.600000	0.000300	0.000070	0.002000	0.020000
420.00	0.546100	0.018310	0.544000	24.510000	0.000400	0.000060	0.002000	0.030000
410.00	0.558000	0.014890	0.441000	25.370000	0.000400	0.000050	0.002000	0.030000
400.00	0.569300	0.012010	0.354000	26.170000	0.000500	0.000040	0.002000	0.030000
390.00	0.580100	0.009590	0.281000	26.920000	0.000700	0.000030	0.002000	0.040000
380.00	0.590600	0.007580	0.219000	27.640000	0.000700	0.000030	0.002000	0.030000
370.00	0.600900	0.005910	0.169000	28.330000	0.000300	0.000030	0.002000	0.020000
360.00	0.611000	0.004540	0.128000	28.990000	0.000400	0.000030	0.001000	0.040000
350.00	0.620500	0.003430	0.095000	29.610000	0.000800	0.000030	0.001000	0.060000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
510.00	0.428400	0.081900	2.082000	15.100000	0.000700	0.000400	0.001000	0.050000
500.00	0.451600	0.066600	1.799000	17.120000	0.000500	0.000200	0.001000	0.040000
490.00	0.471300	0.054800	1.547000	18.800000	0.000200	0.000100	0.001000	0.030000
480.00	0.488600	0.045520	1.323000	20.230000	0.000200	0.000080	0.002000	0.010000
470.00	0.504200	0.037880	1.124000	21.503000	0.000300	0.000050	0.002000	0.007000
460.00	0.518600	0.031510	0.948000	22.651000	0.000300	0.000040	0.002000	0.008000
450.00	0.532100	0.026130	0.794000	23.700000	0.000300	0.000030	0.002000	0.010000
440.00	0.544900	0.021580	0.659000	24.680000	0.000400	0.000030	0.002000	0.020000
430.00	0.557100	0.017720	0.542000	25.600000	0.000500	0.000030	0.002000	0.030000
420.00	0.568700	0.014450	0.441000	26.450000	0.000400	0.000020	0.002000	0.030000
410.00	0.579600	0.011690	0.355000	27.250000	0.000300	0.000020	0.001000	0.020000
400.00	0.590200	0.009370	0.283000	28.000000	0.000400	0.000020	0.001000	0.020000
390.00	0.600500	0.007430	0.222000	28.730000	0.000600	0.000020	0.001000	0.030000
380.00	0.610500	0.005820	0.172000	29.410000	0.000500	0.000020	0.001000	0.030000
370.00	0.620100	0.004500	0.130600	30.060000	0.000400	0.000020	0.000900	0.020000
360.00	0.629700	0.003430	0.097700	30.700000	0.000600	0.000020	0.000700	0.030000
350.00	0.639000	0.002560	0.071600	31.310000	0.000800	0.000020	0.000600	0.060000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
500.00	0.419400	0.081800	2.009000	14.760000	0.000600	0.000400	0.005000	0.050000
490.00	0.442900	0.065700	1.727000	16.880000	0.000300	0.000200	0.005000	0.030000
480.00	0.463000	0.053500	1.478000	18.640000	0.000300	0.000100	0.005000	0.030000
470.00	0.480600	0.044070	1.257000	20.130000	0.000400	0.000080	0.004000	0.020000
460.00	0.496700	0.036420	1.062000	21.440000	0.000300	0.000060	0.004000	0.020000
450.00	0.511500	0.030080	0.891000	22.630000	0.000300	0.000040	0.004000	0.020000
440.00	0.525400	0.024770	0.741000	23.710000	0.000300	0.000030	0.003000	0.020000
430.00	0.538300	0.020300	0.611000	24.710000	0.000400	0.000020	0.003000	0.020000
420.00	0.550500	0.016540	0.499000	25.640000	0.000500	0.000020	0.003000	0.030000
410.00	0.562000	0.013380	0.403000	26.500000	0.000600	0.000030	0.003000	0.030000
400.00	0.573000	0.010740	0.321000	27.300000	0.000400	0.000030	0.003000	0.020000
390.00	0.583700	0.008530	0.253000	28.070000	0.000300	0.000030	0.003000	0.020000
380.00	0.594000	0.006700	0.197000	28.790000	0.000400	0.000030	0.003000	0.040000
370.00	0.604200	0.005190	0.150000	29.490000	0.000800	0.000030	0.002000	0.060000
360.00	0.615000	0.003960	0.113000	30.190000	0.001000	0.000040	0.002000	0.070000
350.00	0.624000	0.002980	0.083000	30.850000	0.001000	0.000040	0.002000	0.070000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
510.00	0.433000	0.084200	2.129000	14.750000	0.001000	0.000400	0.004000	0.060000
500.00	0.455300	0.068500	1.844000	16.710000	0.000600	0.000300	0.004000	0.040000
490.00	0.474700	0.056500	1.590000	18.340000	0.000300	0.000200	0.003000	0.030000
480.00	0.491700	0.047000	1.364000	19.730000	0.000300	0.000100	0.003000	0.020000
470.00	0.507200	0.039260	1.163000	20.950000	0.000300	0.000070	0.003000	0.010000
460.00	0.521500	0.032780	0.985000	22.050000	0.000300	0.000040	0.003000	0.010000
450.00	0.534900	0.027310	0.828000	23.070000	0.000400	0.000020	0.002000	0.020000
440.00	0.547600	0.022660	0.690000	24.010000	0.000300	0.000010	0.002000	0.020000
430.00	0.559700	0.018690	0.570000	24.890000	0.000400	0.000020	0.002000	0.030000
420.00	0.571200	0.015320	0.466000	25.700000	0.000700	0.000020	0.002000	0.040000
410.00	0.582000	0.012460	0.377000	26.470000	0.000700	0.000020	0.002000	0.030000
400.00	0.592300	0.010040	0.302000	27.180000	0.000500	0.000020	0.002000	0.020000
390.00	0.602400	0.008010	0.238000	27.860000	0.000400	0.000020	0.002000	0.030000
380.00	0.612400	0.006320	0.186000	28.520000	0.000700	0.000020	0.002000	0.050000
370.00	0.622000	0.004920	0.142000	29.170000	0.001000	0.000020	0.002000	0.070000
360.00	0.632000	0.003770	0.107000	29.800000	0.002000	0.000020	0.001000	0.090000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
520.00	0.427300	0.090000	2.308000	14.300000	0.000700	0.001000	0.006000	0.100000
510.00	0.451100	0.073700	2.013000	16.250000	0.000500	0.000500	0.004000	0.060000
500.00	0.471000	0.061400	1.748000	17.860000	0.000800	0.000200	0.003000	0.040000
490.00	0.488400	0.051500	1.510000	19.240000	0.000600	0.000100	0.003000	0.030000
480.00	0.503900	0.043300	1.296000	20.460000	0.000200	0.000080	0.003000	0.020000
470.00	0.518100	0.036400	1.106000	21.550000	0.000400	0.000060	0.003000	0.030000
460.00	0.531500	0.030540	0.938000	22.560000	0.000700	0.000050	0.002000	0.040000
450.00	0.544400	0.025540	0.789000	23.510000	0.000800	0.000060	0.002000	0.050000
440.00	0.556800	0.021260	0.658000	24.400000	0.000800	0.000050	0.002000	0.050000
430.00	0.568700	0.017590	0.544000	25.240000	0.000400	0.000040	0.002000	0.030000
420.00	0.580000	0.014450	0.445000	26.030000	0.000300	0.000030	0.002000	0.020000
410.00	0.590800	0.011770	0.360000	26.770000	0.000500	0.000020	0.002000	0.040000
400.00	0.600900	0.009500	0.288000	27.450000	0.000600	0.000020	0.002000	0.050000
390.00	0.610400	0.007590	0.227000	28.080000	0.000700	0.000020	0.001000	0.050000
380.00	0.620000	0.005990	0.177000	28.720000	0.001000	0.000020	0.001000	0.060000
